Date,Open,High,Low,Close,Adj Close,Volume
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,,,,,,
2015-12-31,,,,,,
2016-01-04,,,,,,
2016-01-05,,,,,,
2016-01-06,,,,,,
2016-01-07,,,,,,
2016-01-08,,,,,,
2016-01-11,,,,,,
2016-01-12,,,,,,
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-19,,,,,,
2016-01-20,,,,,,
2016-01-21,,,,,,
2016-01-22,,,,,,
2016-01-25,,,,,,
2016-01-26,,,,,,
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,,,,,,
2016-02-19,,,,,,
2016-02-22,,,,,,
2016-02-23,,,,,,
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-07,,,,,,
2016-03-08,59.63999938964844,59.72999954223633,59.40999984741211,59.40999984741211,47.57600021362305,4219800.0
2016-03-09,59.54999923706055,59.56999969482422,59.345001220703125,59.380001068115234,47.55196762084961,2300.0
2016-03-10,59.7400016784668,59.7400016784668,58.9900016784668,59.3650016784668,47.53995895385742,6000.0
2016-03-11,60.0,60.40999984741211,60.0,60.34400177001953,48.32394790649414,1600.0
2016-03-14,60.459999084472656,60.48699951171875,60.27000045776367,60.34000015258789,48.32074737548828,5900.0
2016-03-15,60.0,60.15999984741211,59.928001403808594,60.124000549316406,48.14777755737305,800.0
2016-03-16,60.25,60.349998474121094,60.189998626708984,60.189998626708984,48.200626373291016,1500.0
2016-03-17,60.72999954223633,61.09000015258789,60.39899826049805,60.93000030517578,48.793212890625,9200.0
